id,name,url,tags,artist_name
5308,Positions,https://www.last.fm/music/Ariana+Grande/_/Positions,"['rnb', 'pop', 'feminist', 'FM4', 'feminism']",Ariana Grande
75652,Blinding Lights,https://www.last.fm/music/The+Weeknd/_/Blinding+Lights,"['synthpop', 'synthwave', 'The Weeknd', 'pop', '2010s']",The Weeknd
19508,therefore i am,https://www.last.fm/music/Billie+Eilish/_/therefore+i+am,"['descartes', 'alternative', 'Billie Eilish']",Billie Eilish
78763,34+35,https://www.last.fm/music/Ariana+Grande/_/34%252B35,"['pop', 'female vocalists', '2020', 'rnb', 'sex']",Ariana Grande
46629,Dynamite,https://www.last.fm/music/BTS/_/Dynamite,"['pop', 'bts', 'Disco', 'k-pop', 'Kpop']",BTS
33062,wAp (fEAt. mEgAn thEe stAllIOn),https://www.last.fm/music/Cardi+B/_/wAp+(fEAt.+mEgAn+thEe+stAllIOn),"['cardi b', 'Megan Thee Stallion', 'rap', 'best of 2020', 'trap']",Cardi B
33108,Midnight Sky,https://www.last.fm/music/Miley+Cyrus/_/Midnight+Sky,"['pop', 'Disco', 'Retro', 'synthpop', 'amazing']",Miley Cyrus
95623,Prisoner (feat. Dua Lipa),https://www.last.fm/music/Miley+Cyrus/_/Prisoner+(feat.+Dua+Lipa),"['pop', 'rock', 'Disco', 'pop rock', 'disco-punk']",Miley Cyrus
3157,Watermelon Sugar,https://www.last.fm/music/Harry+Styles/_/Watermelon+Sugar,"['pop', '2019', 'indie pop', '2010s', 'fine line']",Harry Styles
12627,pov,https://www.last.fm/music/Ariana+Grande/_/pov,"['rnb', 'pop', 'soul', 'female vocalists', 'Love']",Ariana Grande
50723,motive (with Doja Cat),https://www.last.fm/music/Ariana+Grande/_/motive+(with+Doja+Cat),"['bop', 'love at first listen', 'doja cat', 'pop', 'dance']",Ariana Grande
64739,doN'T StArT nOw,https://www.last.fm/music/Dua+Lipa/_/doN%27T+StArT+nOw,"['Disco', 'pop', 'dance', '2019', '2010s']",Dua Lipa
12276,The Less I Know the Better,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,"['indie', 'psychedelic', 'alternative', 'Disco', 'psychedelic pop']",Tame Impala
66541,Life Goes On,https://www.last.fm/music/BTS/_/Life+Goes+On,"['bts', 'k-pop', 'jin', 'jimin', 'soft']",BTS
22528,just like magic,https://www.last.fm/music/Ariana+Grande/_/just+like+magic,"['pop', 'trap', '2020', 'i love ari - labi']",Ariana Grande
38887,shut up,https://www.last.fm/music/Ariana+Grande/_/shut+up,"['pop', 'rnb', 'shit', 'FM4', 'swearing']",Ariana Grande
6074,Dreams - 2004 Remaster,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster,[],Fleetwood Mac
74425,off the table (with The Weeknd),https://www.last.fm/music/Ariana+Grande/_/off+the+table+(with+The+Weeknd),"['female vocalists', 'slow', 'rnb', 'male vocalists', 'love at first listen']",Ariana Grande
27629,All I Want for Christmas Is You,https://www.last.fm/music/Mariah+Carey/_/All+I+Want+for+Christmas+Is+You,"['christmas', 'pop', 'xmas', 'Mariah Carey', 'female vocalists']",Mariah Carey
19537,Sofia,https://www.last.fm/music/Clairo/_/Sofia,"['pop', 'alternative', 'alternative pop', 'FM4', 'laut.fm/dailyvibes']",Clairo
32706,Golden,https://www.last.fm/music/Harry+Styles/_/Golden,"['pop', 'louis tomlinson', 'rock', 'alternative', 'alternative rock']",Harry Styles
36988,Adore You,https://www.last.fm/music/Harry+Styles/_/Adore+You,"['pop', '2010s', '2019', 'rock', 'soul']",Harry Styles
11909,my hair,https://www.last.fm/music/Ariana+Grande/_/my+hair,"['Neo Soul', 'pop', 'sexy', 'female vocalists', 'rnb']",Ariana Grande
59825,safety net (feat. Ty Dolla $ign),https://www.last.fm/music/Ariana+Grande/_/safety+net+(feat.+Ty+Dolla+$ign),"['pop', 'rnb', '2020', 'i love ari - labi']",Ariana Grande
83372,carDIGan,https://www.last.fm/music/Taylor+Swift/_/carDIGan,"['folk', 'chamber pop', 'indie', 'alternative', 'folk pop']",Taylor Swift
79040,Fly To My Room,https://www.last.fm/music/BTS/_/Fly+To+My+Room,['k-pop'],BTS
4754,bad guy,https://www.last.fm/music/Billie+Eilish/_/bad+guy,"['pop', 'electropop', 'indie', 'indie pop', 'dance-pop']",Billie Eilish
10976,nasTy,https://www.last.fm/music/Ariana+Grande/_/nasTy,"['pop', 'sexy', 'rnb', 'her best song', '2020']",Ariana Grande
18360,Break My Heart,https://www.last.fm/music/Dua+Lipa/_/Break+My+Heart,"['pop', 'Disco', 'dance', 'dance-pop', '2020']",Dua Lipa
76763,six thirty,https://www.last.fm/music/Ariana+Grande/_/six+thirty,"['relatable', 'i love ari - labi']",Ariana Grande
57931,Blue & Grey,https://www.last.fm/music/BTS/_/Blue+&+Grey,"['k-pop', 'Ballad']",BTS
78616,Telepathy,https://www.last.fm/music/BTS/_/Telepathy,"['k-pop', 'synth funk']",BTS
52436,How you like that,https://www.last.fm/music/BLACKPINK/_/How+you+like+that,"['Kpop', 'pop', 'k-pop', '2020', 'Korean']",BLACKPINK
64166,Mood (feat. Iann Dior),https://www.last.fm/music/24kgoldn/_/Mood+(feat.+Iann+Dior),[],24kgoldn
20959,rAIn oN mE (with aRIaNa gRAndE),https://www.last.fm/music/Lady+Gaga/_/rAIn+oN+mE+(with+aRIaNa+gRAndE),"['pop', 'Lady Gaga', 'Ariana Grande', '2020', 'electropop']",Lady Gaga
81820,Dis-ease,https://www.last.fm/music/BTS/_/Dis-ease,"['gay', 'k-pop']",BTS
