id,name,url,tags,artist_name
41026,Stay,https://www.last.fm/music/BTS/_/Stay,"['pop', 'bop', 'k-pop', 'jin', 'Seokjin']",BTS
78962,Do I Wanna Know?,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F,"['indie rock', 'indie', 'alternative', 'arctic monkeys', 'rock']",Arctic Monkeys
73863,obvious,https://www.last.fm/music/Ariana+Grande/_/obvious,"['pop', 'Love', 'rnb', 'relatable', '2020']",Ariana Grande
42616,Physical,https://www.last.fm/music/Dua+Lipa/_/Physical,"['pop', 'dance', 'synthpop', '2020', 'Disco']",Dua Lipa
39006,love language,https://www.last.fm/music/Ariana+Grande/_/love+language,"['pop', 'rnb', 'Disco', 'jazz fusion', 'love at first listen']",Ariana Grande
85893,Heart Of Glass (Live from the iHeart Festival),https://www.last.fm/music/Miley+Cyrus/_/Heart+Of+Glass+(Live+from+the+iHeart+Festival),"['rock', 'cover', 'alternative rock', 'pop rock', 'new wave']",Miley Cyrus
87478,EXILE (feat. Bon Iver),https://www.last.fm/music/Taylor+Swift/_/EXILE+(feat.+Bon+Iver),"['folk', 'alternative', 'indie', 'pop', 'indie pop']",Taylor Swift
39373,west side,https://www.last.fm/music/Ariana+Grande/_/west+side,"['rnb', 'pop', 'dance', 'new wave', 'Psychedelic Soul']",Ariana Grande
9686,Lovesick Girls,https://www.last.fm/music/BLACKPINK/_/Lovesick+Girls,"['Kpop', 'pop', 'Korean', 'k-pop', 'girl group']",BLACKPINK
50796,Sweater Weather,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,"['indie', 'chill', 'alternative', ""can't stop listening"", 'summer']",The Neighbourhood
61362,7 rings,https://www.last.fm/music/Ariana+Grande/_/7+rings,"['trap', 'pop', 'rap', 'rnb', 'Hip-Hop']",Ariana Grande
9463,Pink + White,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,"['rnb', 'beyonce', 'soul', 'smooth', 'Frank Ocean']",Frank Ocean
84344,I Can't Stop Me,https://www.last.fm/music/TWICE/_/I+Can%27t+Stop+Me,"['Retro', 'electropop', 'pop', 'bop', 'Korean']",TWICE
55334,Earfquake,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake","['alternative', 'rap', 'tyler the creator', 'jazz', 'hip hop']","Tyler, the Creator"
